FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Jordon,Mutch,MID,CRY,4200000,1,4,0.0666666666666667,1.58730158730159E-08,9.52380952380952E-07,0,9107,0,1,0,0,0,0,0,1,1333,-3,0,4,3,0.1,0,0.5,0,0,0,0,0,0.4,15044,0,54,0,0,53,3877,0,0,17,West Ham,Everton,Bournemouth,Sunderland,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boaz,Myhill,GLK,WBA,4200000,0,0,0,0,0,0,34013,0,0,0,0,0,0,0,0,345,-3,0,0,3,0,0,0,0,0,0,0,0,0.5,2545,0,218,0,0,0,218,0,0,0,Tottenham,Sunderland,Middlesbrough,Stoke,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samir,Nasri,MID,MCI,6400000,0,1,1,1.5625E-07,1.5625E-07,0,12455,0,0,0,0,0,0,0,0.2,80,-1,0,1,1,0,0,0,0,0,0,0,0,0.2,1080,0,164,0,0,16,35,0,0,0,Everton,Tottenham,West Ham,Swansea,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle,Naughton,DEF,SWA,4300000,2,26,1.7,3.95348837209302E-07,6.04651162790698E-06,0,45222,3,30,0,0,0,0,0,6,914,-2,0,26,2,0.1,0,0.5,3,0,2,0,0,0.9,32483,0,239,0,0,1295,749,0,0,243,Arsenal,Liverpool,Southampton,Man City,Leicester,1.7,1.3,1.7,1.1,1.1,1,1.5,1.3,1.2,1.3,1.5,1.7,1,1.6,0.8,1.3,0.8,1.4
Jesus,Navas,MID,MCI,6100000,1,24,0.4,6.55737704918033E-08,3.9344262295082E-06,0,37068,1,10,0,0,0,0,0,3.9,369,-4,0,24,4,0.1,0,0.8,0,0,1,0,2,0.6,14251,0,408,0,0,510,193,0,0,106,Everton,Tottenham,West Ham,Swansea,Bournemouth,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Didier,Ndong,MID,SUN,4800000,6,32,2,4.16666666666667E-07,6.66666666666667E-06,0,973,4,27,0,0,0,0,0,6.7,88,-2,0,32,2,0.5,0,2.2,1,0,2,0,1,0,1168,0,0,0,0,1306,86,0,0,197,Stoke,West Brom,Tottenham,Crystal Palace,Southampton,0,1,1.4,1,1.6,1,1.3,1.1,2.3,1.2,1.1,1.5,1.4,1,1.7,1,1.6,1
Alvaro,Negredo,FWD,MID,6400000,2,76,4,6.25E-07,1.1875E-05,0,1286277,3,20,0,0,0,5,0,11.9,38024,-1,0,76,1,0.6,0,3.7,11,0,6,0,4,15.6,1376727,0,0,0,3,1592,22472,0,0,233,Watford,West Ham,West Brom,Tottenham,Everton,4.1,5.3,4.8,3.4,4.8,5,3.9,5.5,4.3,4.9,5,5.9,4.6,3.4,4.9,3.3,4.9,4.1
Julien,Ngoy,FWD,STK,4500000,0,1,0.0166666666666667,3.7037037037037E-09,2.22222222222222E-07,0,3410,0,0,0,0,0,0,0,0.2,145,0,0,1,0,0,0,0.2,0,0,0,0,0,0.1,4788,0,0,0,0,5,60,0,0,3,Sunderland,Man Utd,Everton,West Brom,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oumar,Niasse,FWD,EVE,5600000,0,0,0,0,0,0,2489,0,0,0,0,0,0,0,0,44,-4,1,0,4,0,0,0,0,0,0,0,0,0,1130,0,19,0,0,0,26,-1,0,0,Man City,Crystal Palace,Stoke,Bournemouth,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinton,N'Jie,FWD,TOT,5900000,0,0,0,0,0,0,1874,0,0,0,0,0,0,0,0,16,-1,0,0,1,0,0,0,0,0,0,0,0,0,401,0,38,0,0,0,17,0,0,0,West Brom,Man City,Sunderland,Middlesbrough,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
